"cntry_key","year","usd"
"GHA",2002,6166197192
"GHA",2004,8881419348
"GHA",2005,10731883141
"GHA",2006,20410257646
"GHA",2007,24757642258
"GHA",2008,28528046011
"GHA",2009,25978537279
"GHA",2010,32174839713
"GHA",2011,39199656051
