"rgn_id","year","count"
2,1990,5851766.84277511
4,1990,5851766.84277511
3,1990,5851766.84277511
1,1990,5851766.84277511
2,1991,6049045.92522881
4,1991,6049045.92522881
3,1991,6049045.92522881
1,1991,6049045.92522881
2,1992,6253959.64213198
4,1992,6253959.64213198
3,1992,6253959.64213198
1,1992,6253959.64213198
2,1993,6491024.11995883
4,1993,6491024.11995883
3,1993,6491024.11995883
1,1993,6491024.11995883
2,1994,6731050.26515658
4,1994,6731050.26515658
3,1994,6731050.26515658
1,1994,6731050.26515658
2,1995,6971588.35722566
4,1995,6971588.35722566
3,1995,6971588.35722566
1,1995,6971588.35722566
2,1996,7211516.88622129
4,1996,7211516.88622129
3,1996,7211516.88622129
1,1996,7211516.88622129
2,1997,7452539.93423522
4,1997,7452539.93423522
3,1997,7452539.93423522
1,1997,7452539.93423522
2,1998,7708922.83270734
4,1998,7708922.83270734
3,1998,7708922.83270734
1,1998,7708922.83270734
2,1999,7965557.96891188
4,1999,7965557.96891188
3,1999,7965557.96891188
1,1999,7965557.96891188
2,2000,8236701.95096668
4,2000,8236701.95096668
3,2000,8236701.95096668
1,2000,8236701.95096668
2,2001,8375717.13882333
4,2001,8375717.13882333
3,2001,8375717.13882333
1,2001,8375717.13882333
2,2002,8508656.82034287
4,2002,8508656.82034287
3,2002,8508656.82034287
1,2002,8508656.82034287
2,2003,8645769.42363908
4,2003,8645769.42363908
3,2003,8645769.42363908
1,2003,8645769.42363908
2,2004,8773334.39879832
4,2004,8773334.39879832
3,2004,8773334.39879832
1,2004,8773334.39879832
2,2005,8901525.41926236
4,2005,8901525.41926236
3,2005,8901525.41926236
1,2005,8901525.41926236
2,2006,9043916.27827465
4,2006,9043916.27827465
3,2006,9043916.27827465
1,2006,9043916.27827465
2,2007,9322791.46849658
4,2007,9322791.46849658
3,2007,9322791.46849658
1,2007,9322791.46849658
2,2008,9619602.06183195
4,2008,9619602.06183195
3,2008,9619602.06183195
1,2008,9619602.06183195
2,2009,9900634.88607183
4,2009,9900634.88607183
3,2009,9900634.88607183
1,2009,9900634.88607183
2,2010,10204902.6020686
4,2010,10204902.6020686
3,2010,10204902.6020686
1,2010,10204902.6020686
2,2011,10487162.3962157
4,2011,10487162.3962157
3,2011,10487162.3962157
1,2011,10487162.3962157
2,2012,10779112.0822677
4,2012,10779112.0822677
3,2012,10779112.0822677
1,2012,10779112.0822677
