"rgn_id","sector","year","value"
1,"cf",2006,509.262171905605
2,"cf",2006,509.262171905605
3,"cf",2006,509.262171905605
4,"cf",2006,509.262171905605
1,"cf",2007,592.594853153935
2,"cf",2007,592.594853153935
3,"cf",2007,592.594853153935
4,"cf",2007,592.594853153935
1,"ph",2006,200.002056241375
2,"ph",2006,200.002056241375
3,"ph",2006,200.002056241375
4,"ph",2006,200.002056241375
1,"ph",2007,226.133667166076
2,"ph",2007,226.133667166076
3,"ph",2007,226.133667166076
4,"ph",2007,226.133667166076
1,"sb",2006,509.262171905605
2,"sb",2006,509.262171905605
3,"sb",2006,509.262171905605
4,"sb",2006,509.262171905605
1,"sb",2007,592.594853153935
2,"sb",2007,592.594853153935
3,"sb",2007,592.594853153935
4,"sb",2007,592.594853153935
1,"tour",2006,632.428834920595
2,"tour",2006,632.428834920595
3,"tour",2006,632.428834920595
4,"tour",2006,632.428834920595
1,"tour",2007,807.087803158666
2,"tour",2007,807.087803158666
3,"tour",2007,807.087803158666
4,"tour",2007,807.087803158666
1,"tran",2006,2107.71392213653
2,"tran",2006,2107.71392213653
3,"tran",2006,2107.71392213653
4,"tran",2006,2107.71392213653
1,"tran",2007,2397.01734580885
2,"tran",2007,2397.01734580885
3,"tran",2007,2397.01734580885
4,"tran",2007,2397.01734580885
