"cntry_key","year","percent"
"GHA",1999,10.10767357
"GHA",2000,10.36231658
"GHA",1995,4.1689800114
"GHA",1996,3.9178466223
"GHA",1997,4.3053029374
"GHA",1998,5.0750671175
"GHA",2005,8.290077778
"GHA",2006,8.4754361383
"GHA",2007,8.6901690216
"GHA",2008,8.9111313021
"GHA",2009,9.13209358260001
"GHA",2010,9.35305586299999
