"rgn_id","year","count"
2,1988,3525.15953648976
4,1988,10894.0422292945
3,1988,2055.52932844229
1,1988,2825.26890577347
2,1989,3853.93089222456
4,1989,11910.0668931665
3,1989,2247.23672694987
1,1989,3088.76548765908
2,1990,3671.28013903856
4,1990,11345.6087465709
3,1990,2140.73261666788
1,1990,2942.37849772263
2,1991,4657.59420624295
4,1991,14393.682738187
3,1991,2715.8548121906
1,1991,3732.86824337946
2,1992,5479.52259557994
4,1992,16933.7443978671
3,1992,3195.12330845952
1,1992,4391.60969809348
2,1993,8401.93464655591
4,1993,25965.0747433962
3,1993,4899.18907297127
1,1993,6733.80153707667
2,1994,10739.8642873367
4,1994,33190.1390198194
3,1994,6262.44168458067
1,1994,8607.55500826322
2,1995,9936.20097331829
4,1995,30706.5231747989
3,1995,5793.82359933994
1,1995,7963.45225254284
2,1996,11068.6356430715
4,1996,34206.1636836914
3,1996,6454.14908308824
1,1996,8871.05159014883
2,1997,11488.7323753993
4,1997,35504.4174208613
3,1997,6699.1085367368
1,1997,9207.74166700266
2,1998,8931.6218307953
4,1998,27602.0033685233
3,1998,5208.05099278903
1,1998,7158.32380789237
2,1999,8968.1519814325
4,1999,27714.8949978424
3,1999,5229.35181484542
1,1999,7187.60120587966
2,2000,19598.4258168576
4,2000,60566.3591297045
3,2000,11427.8910332569
1,2000,15707.324020181
2,2001,21351.8730474432
4,2001,65985.157337022
3,2001,12450.3304919639
1,2001,17112.6391235709
2,2002,20548.2097334248
4,2002,63501.5414920015
3,2002,11981.7124067232
1,2002,16468.5363678505
2,2003,19415.7750636716
4,2003,60001.9009831089
3,2003,11321.3869229749
1,2003,15560.9370302446
2,2004,20730.8604866108
4,2004,64065.999638597
3,2004,12088.2165170052
1,2004,16614.923357787
2,2005,25625.9006719955
4,2005,79193.4779673583
3,2005,14942.5266725624
1,2005,20538.0946880838
2,2006,27543.7335804485
4,2006,85120.2885066117
3,2006,16060.8198305232
1,2006,22075.1580824166
2,2007,29790.3378446363
4,2007,92063.1237097372
3,2007,17370.8203869916
1,2007,23875.7180586349
2,2008,28329.1318191483
4,2008,87547.4585369727
3,2008,16518.7875047357
1,2008,22704.6221391433
2,2009,28621.3730242459
4,2009,88450.5915715256
3,2009,16689.1940811869
1,2009,22938.8413230416
2,2010,23854.1883660913
4,2010,73718.2339453812
3,2010,13909.4368028271
1,2010,19118.1408857003
2,2011,22977.4647507986
4,2011,71008.8348417225
3,2011,13398.2170734736
1,2011,18415.4833340053
2,2012,23543.6820856751
4,2012,72758.6550961688
3,2012,13728.3798153478
1,2012,18869.2830028083
2,2013,22758.2838469754
4,2013,70331.4850658078
3,2013,13270.4121411352
1,2013,18239.8189460816
