"cntry_key","sector","year","value"
"GHA","cf",1995,260414.602
"GHA","cf",1996,404770.52
"GHA","cf",1997,406589.82
"GHA","cf",1998,405957.02
"GHA","cf",1999,406036.12
"GHA","cf",2000,403996.922
"GHA","mar",1995,0
"GHA","mar",1996,0
"GHA","mar",1997,0
"GHA","mar",1998,0
"GHA","mar",1999,0
"GHA","mar",2000,0
"GHA","tour",2005,26879.0033979
"GHA","tour",2006,26421.6182011
"GHA","tour",2007,24492.977288
"GHA","tour",2008,23326.6450362
"GHA","tour",2009,24889.3777919
"GHA","tour",2010,25438.240028
