"rgn_id","habitat","health"
2,"soft_bottom",0.930926842793
4,"soft_bottom",0.930926842793
3,"soft_bottom",0.930926842793
1,"soft_bottom",0.930926842793
2,"mangrove",0.688888888888889
4,"mangrove",0.688888888888889
3,"mangrove",0.688888888888889
1,"mangrove",0.688888888888889
2,"seagrass",1
4,"seagrass",1
3,"seagrass",1
1,"seagrass",1
