"goal","dimension","region_id","score"
"HAB","pressures",1,30.85
"HAB","pressures",2,30.91
"HAB","pressures",3,30.78
"HAB","pressures",4,31.54
"HAB","resilience",1,60.59
"HAB","resilience",2,60.59
"HAB","resilience",3,60.59
"HAB","resilience",4,60.59
"HAB","score",0,76.51
"HAB","score",1,76.52
"HAB","score",2,76.51
"HAB","score",3,76.53
"HAB","score",4,76.42
"HAB","status",0,87.33
"HAB","status",1,87.33
"HAB","status",2,87.33
"HAB","status",3,87.33
"HAB","status",4,87.33
"HAB","trend",1,-0.52
"HAB","trend",2,-0.52
"HAB","trend",3,-0.52
"HAB","trend",4,-0.52
"ICO","future",0,57.05
"ICO","future",1,57.06
"ICO","future",2,57.04
"ICO","future",3,57.08
"ICO","future",4,56.85
"ICO","pressures",1,35.39
"ICO","pressures",2,35.48
"ICO","pressures",3,35.29
"ICO","pressures",4,36.43
"ICO","resilience",1,62
"ICO","resilience",2,62
"ICO","resilience",3,62
"ICO","resilience",4,62
"ICO","score",0,59.52
"ICO","score",1,59.53
"ICO","score",2,59.52
"ICO","score",3,59.54
"ICO","score",4,59.42
"ICO","status",0,62
"ICO","status",1,62
"ICO","status",2,62
"ICO","status",3,62
"ICO","status",4,62
"ICO","trend",1,-0.25
"ICO","trend",2,-0.25
"ICO","trend",3,-0.25
"ICO","trend",4,-0.25
"Index","future",0,55.52
"Index","future",1,55.41
"Index","future",2,55.85
"Index","future",3,55.89
"Index","future",4,54.23
"Index","score",0,60.17
"Index","score",1,60.01
"Index","score",2,60.31
"Index","score",3,60.75
"Index","score",4,59.53
"LE","future",0,100
"LE","future",1,100
"LE","future",2,100
"LE","future",3,100
"LE","future",4,100
"LE","pressures",1,
"LE","pressures",2,
"LE","pressures",3,
"LE","pressures",4,
"LE","resilience",1,
"LE","resilience",2,
"LE","resilience",3,
"LE","resilience",4,
"LE","score",0,99.53
"LE","score",1,99.53
"LE","score",2,99.53
"LE","score",3,99.53
"LE","score",4,99.53
"LE","status",0,99.06
"LE","status",1,99.06
"LE","status",2,99.06
"LE","status",3,99.06
"LE","status",4,99.06
"LE","trend",1,0.55
"LE","trend",2,0.55
"LE","trend",3,0.55
"LE","trend",4,0.55
"LIV","future",0,100
"LIV","future",1,100
"LIV","future",2,100
"LIV","future",3,100
"LIV","future",4,100
"LIV","pressures",1,34.27
"LIV","pressures",2,34.27
"LIV","pressures",3,34.27
"LIV","pressures",4,34.31
"LIV","resilience",1,41.55
"LIV","resilience",2,41.55
"LIV","resilience",3,41.55
"LIV","resilience",4,41.55
"LIV","score",0,99.06
"LIV","score",1,99.06
"LIV","score",2,99.06
"LIV","score",3,99.06
"LIV","score",4,99.06
"LIV","status",0,98.12
"LIV","status",1,98.12
"LIV","status",2,98.12
"LIV","status",3,98.12
"LIV","status",4,98.12
"LIV","trend",1,0.11
"LIV","trend",2,0.11
"LIV","trend",3,0.11
